"Gene_Symbol","Selection_Frequency_Pct","Stability_Tier"
"C9orf47",91,"Ultra Stability (≥ 90%)"
"CXCL5.1",89,"High Stability (≥ 75%)"
"IL21",81,"High Stability (≥ 75%)"
"NF1P9.2",80,"High Stability (≥ 75%)"
"TNFSF8.1",78,"High Stability (≥ 75%)"
"ABCC3.1",75,"High Stability (≥ 75%)"
"LOC157503",73,"Core Signature (≥ 50%)"
"PTPN13.1",73,"Core Signature (≥ 50%)"
"GPR42",66,"Core Signature (≥ 50%)"
"HABP4.3",66,"Core Signature (≥ 50%)"
"SUPT3H",64,"Core Signature (≥ 50%)"
"LOC101928230",60,"Core Signature (≥ 50%)"
"LIMS2",59,"Core Signature (≥ 50%)"
"EFNB2.1",58,"Core Signature (≥ 50%)"
"TMEM108.1",58,"Core Signature (≥ 50%)"
"AP3M2",57,"Core Signature (≥ 50%)"
"OBSL1.1",55,"Core Signature (≥ 50%)"
"TDRP",54,"Core Signature (≥ 50%)"
"GNAL.3",53,"Core Signature (≥ 50%)"
"ACHE.1",52,"Core Signature (≥ 50%)"
"CCBE1",52,"Core Signature (≥ 50%)"
"SLCO3A1",51,"Core Signature (≥ 50%)"
