"Predictor","HR","LCI","UCI","p_value"
"Chemo_flagTreated",0.430334513254635,0.0384414518327004,4.81739852344944,0.690546045876384
"ns(Age_continuous, df = 3)1",11.8350939661615,3.12106907911884,44.878676388482,0.334601726615938
"ns(Age_continuous, df = 3)2",1.84330251642057,0.0177133943677938,191.818919428574,0.865154237839072
"ns(Age_continuous, df = 3)3",3.18952296412269,1.13785543171452,8.94055295173764,0.425539677960624
"Radio_flagTreated",0.852200780273036,0.700881539468216,1.03618961122731,0.492981429297753
"SexMale",1.12272940865917,0.960262916065372,1.31268354112132,0.515323126427537
"RaceNon-Hispanic American Indian/Alaska Native",0.594098767074747,0.145932625297787,2.41860477956526,0.676809949372283
"RaceNon-Hispanic Asian or Pacific Islander",1.70818952023451,1.21228305053067,2.40695556682221,0.36378697915275
"RaceNon-Hispanic Black",1.13989732413379,0.853357611782309,1.52265110385966,0.630716420098436
"RaceNon-Hispanic Unknown Race",0.000148954655992506,0.000113590644330734,0.000195328494459844,0.0803484569276984
"RaceNon-Hispanic White",0.915750986917529,0.739088267368313,1.13464102606641,0.65333453323175
"Stage_advanced1",1.34913674622615,1.14159497372082,1.59440957775522,0.340128093908457
"Chemo_flagTreated:ns(Age_continuous, df = 3)1",0.911614441235997,0.220531852302021,3.7683485664098,0.931622636681093
"Chemo_flagTreated:ns(Age_continuous, df = 3)2",6.33918553774029,0.0447280196113029,898.436229261103,0.675652287288845
"Chemo_flagTreated:ns(Age_continuous, df = 3)3",2.65776924650071,0.870991626955774,8.10999457289112,0.477924472545225
