"Predictor","HR","LCI","UCI","p_value"
"Chemo_flagTreated",0.600672591418994,0.034964889729099,10.3191391386466,0.72546978274941
"ns(Age_continuous, df = 3)1",13.1431870282952,2.89401623642176,59.6898397067505,0.000897258205133587
"ns(Age_continuous, df = 3)2",36.4803306047122,0.151441868719796,8787.62611871509,0.199103257091644
"ns(Age_continuous, df = 3)3",66.6346001957254,19.8883867128835,223.254405062823,2.26862837696916e-11
"Radio_flagTreated",0.677814202888616,0.56039968829587,0.819829316883859,6.86437370617629e-05
"SexMale",1.27756725172893,1.09242163305572,1.49409168886987,0.00225472382982589
"RaceNon-Hispanic American Indian/Alaska Native",0.729658467615421,0.180017134489377,2.95750446685564,0.659070387258865
"RaceNon-Hispanic Asian or Pacific Islander",1.61015598007659,1.14313726835467,2.26797109318985,0.00659492789501585
"RaceNon-Hispanic Black",1.1442024109682,0.856217990674793,1.52904887718332,0.362826637543493
"RaceNon-Hispanic Unknown Race",4.79135517087487e-07,0,Inf,0.984376985212784
"RaceNon-Hispanic White",0.781046776916352,0.629697138808769,0.968773764615566,0.0248678608402994
"Stage_advanced1",1.97619706752106,1.65444036145103,2.36052924038533,1.92553195428139e-13
"Chemo_flagTreated:ns(Age_continuous, df = 3)1",0.817783629407665,0.164023086854685,4.07729227239618,0.806218841330006
"Chemo_flagTreated:ns(Age_continuous, df = 3)2",1.76608042538066,0.00521917802669974,597.611358140434,0.848268437671178
"Chemo_flagTreated:ns(Age_continuous, df = 3)3",0.852667125556187,0.23346705003472,3.1141063670275,0.809498137243629
